"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000149968",119.357522089936,5.01652288391378,0.658873047843315,7.61379282448164,2.66167322633945e-14,4.05000631786887e-11,"MMP3"
"ENSG00000110245",1475.85444637166,-7.32666201207455,0.962759854962118,-7.61006181792119,2.73964853781269e-14,4.05000631786887e-11,"APOC3"
"ENSG00000151388",157.961966936256,2.9175144566344,0.385212474543889,7.57377979539444,3.6251870412765e-14,4.88662234574874e-11,"ADAMTS12"
"ENSG00000106483",152.650669663334,3.92800962449307,0.518842820883925,7.57071210468158,3.71183840412453e-14,4.88662234574874e-11,"SFRP4"
"ENSG00000171560",15401.8331639864,-6.70099306221339,0.886364331794269,-7.56008880529811,4.02794263036792e-14,4.88662234574874e-11,"FGA"
"ENSG00000145321",2492.72787210094,-7.04330026822897,0.931861656687093,-7.55831106225461,4.08336593294033e-14,4.88662234574874e-11,"GC"
"ENSG00000104760",1650.38866461,-6.94096192786494,0.922550090669898,-7.52366944414351,5.32598979481668e-14,6.08397497879718e-11,"FGL1"
"ENSG00000084674",3377.14018574101,-6.45273396106453,0.859423349604822,-7.50821345967807,5.99397132332674e-14,6.54932579680541e-11,"APOB"
"ENSG00000108821",13689.293500443,2.87118685465892,0.382968250188637,7.4971929219842,6.51989849200514e-14,6.82714870844088e-11,"COL1A1"
"ENSG00000257017",9083.89105571243,-6.33147485850162,0.85642191285035,-7.39293888152529,1.43618502527217e-13,1.44371063480459e-10,"HP"
"ENSG00000225614",65.6973075507911,2.20999649723132,0.303785013983972,7.27487004131124,3.46754106541057e-13,3.35164517364742e-10,"ZNF469"
"ENSG00000118137",4926.63755258765,-6.40942146089472,0.886573625523919,-7.22942943075606,4.85027462066323e-13,4.51452783303288e-10,"APOA1"
"ENSG00000131389",773.237876022805,2.12969814853278,0.297103797738222,7.16819564322519,7.59926536289391e-13,6.82061206553167e-10,"SLC6A6"
"ENSG00000055957",1741.93144542604,-6.72978222661975,0.939482650244657,-7.16328526648917,7.87662027912279e-13,6.82577049084948e-10,"ITIH1"
"ENSG00000122194",2102.39956634211,-6.76277649727714,0.95335617740555,-7.09365152033866,1.30618796358815e-12,1.09419365709779e-09,"PLG"
"ENSG00000144810",229.239749168969,2.77165616580247,0.391057554728392,7.08759141024016,1.36466164436721e-12,1.10630038014814e-09,"COL8A1"
"ENSG00000163347",648.202708881324,3.3759655892317,0.478330272898912,7.05781293910526,1.69143538443256e-12,1.29741016576488e-09,"CLDN1"
"ENSG00000124731",52.440527652283,3.39614551466405,0.481257732646864,7.05681235704126,1.70365427043258e-12,1.29741016576488e-09,"TREM1"
"ENSG00000101187",272.776501082426,2.45420908339714,0.354651177807977,6.92006466344222,4.51437534051488e-12,3.33678725536704e-09,"SLCO4A1"
"ENSG00000006327",253.080869644436,2.27332276915324,0.33054360419147,6.87752762517951,6.09002160723675e-12,4.37280951461334e-09,"TNFRSF12A"
"ENSG00000137573",1539.17739218135,2.49587312676906,0.364576915928502,6.84594393589783,7.59732303428387e-12,5.27891927033711e-09,"SULF1"
"ENSG00000255874",30.9650697221898,2.44241830233699,0.356938423176361,6.84268810458157,7.77207484789594e-12,5.27891927033711e-09,"PRECSIT"
"ENSG00000018280",78.6787918718006,2.58313913748249,0.377902430765151,6.83546579007796,8.17390036952639e-12,5.40574447859389e-09,"SLC11A1"
"ENSG00000105664",98.8346931641249,5.50526632533903,0.806247227315999,6.82826078505235,8.59502401777644e-12,5.5385012459164e-09,"COMP"
"ENSG00000113600",1061.11442838489,-6.65226743812821,0.975705848186752,-6.81790259891417,9.2379236734995e-12,5.8039564959679e-09,"C9"
"ENSG00000088882",110.507019674338,2.53572011047998,0.374117008268197,6.77787979278978,1.21952247002379e-11,7.41117264380052e-09,"CPXM1"
"ENSG00000128578",32.6920646932519,2.42220417165538,0.357487260565948,6.77563773271451,1.23858680927787e-11,7.41117264380052e-09,"STRIP2"
"ENSG00000176971",61.3584793085297,2.07052392421978,0.30745902720019,6.73430844777777,1.64711435016573e-11,9.62642575209649e-09,"FIBIN"
"ENSG00000099953",496.239784777457,3.15979111471561,0.469528975168616,6.72970419680888,1.70008347832672e-11,9.71018133950653e-09,"MMP11"
"ENSG00000109072",2690.49709033269,-6.26831550287604,0.932033316150749,-6.72541999760681,1.7508667134722e-11,9.77800697250443e-09,"VTN"
"ENSG00000204262",1537.17073394594,1.91859625914929,0.286459115966233,6.69762682426014,2.11831368177228e-11,1.15729002470911e-08,"COL5A2"
"ENSG00000162849",70.2500666808244,2.95120894246414,0.4411359506295,6.69002138287021,2.23137989976624e-11,1.19312358002181e-08,"KIF26B"
"ENSG00000138115",554.83675956186,-5.40791243272436,0.810101557479212,-6.67559811828054,2.46225860745655e-11,1.28497713292851e-08,"CYP2C8"
"ENSG00000049192",17.1848967532126,1.96982402098855,0.295191001612104,6.67304900972895,2.50542674439922e-11,1.28497713292851e-08,"ADAMTS6"
"ENSG00000117122",65.7170329191893,2.33565274997063,0.352808302151204,6.62017513683572,3.58773546535394e-11,1.8032675995962e-08,"MFAP2"
"ENSG00000162267",1855.15825577955,-5.03252667841192,0.765232530111451,-6.57646725718647,4.81757024890375e-11,2.37392858676863e-08,"ITIH3"
"ENSG00000029153",130.016490632426,1.68587849388487,0.256981958584963,6.56029903098233,5.36999822457867e-11,2.5952581804209e-08,"BMAL2"
"ENSG00000091879",75.2463060873509,2.00842760083295,0.306288033989156,6.5573165711856,5.47846335607734e-11,2.59772193587886e-08,"ANGPT2"
"ENSG00000132703",649.129559524774,-6.91613985200168,1.05695054608308,-6.54348481831243,6.01015886073204e-11,2.77134677236592e-08,"APCS"
"ENSG00000275216",30.3032873094309,4.50571472156505,0.688723692437306,6.54212243754806,6.06518134893661e-11,2.77134677236592e-08,NA
"ENSG00000164692",10515.6262638377,2.07682878249304,0.318167525159105,6.52746939353564,6.68901702822168e-11,3.00181583814712e-08,"COL1A2"
"ENSG00000139515",86.8458406750841,3.57911476416864,0.549969856618972,6.50783805892894,7.62400399813922e-11,3.36138323644275e-08,"PDX1"
"ENSG00000198759",34.1004524440849,3.5466172438484,0.548471360334044,6.46636725332085,1.00386932867887e-10,4.34969656879803e-08,"EGFL6"
"ENSG00000107159",104.494507467123,3.98975753935055,0.6187229079673,6.44837533567032,1.1305550080534e-10,4.81558947582883e-08,"CA9"
"ENSG00000229314",2025.85216500944,-5.61611176032495,0.871625587276477,-6.44326169665731,1.16932811442124e-10,4.89773080725338e-08,"ORM1"
"ENSG00000170509",198.223858372043,-5.37856069045448,0.836419613307478,-6.43045739827392,1.27220533847236e-10,5.24127743625392e-08,"HSD17B13"
"ENSG00000169429",449.52633637624,3.11083189092831,0.484480552019419,6.42096339669713,1.35414589115464e-10,5.488877482356e-08,"CXCL8"
"ENSG00000112559",73.0722391295408,2.68494570029756,0.41929779576493,6.40343385397336,1.51920689978014e-10,6.06018866640868e-08,"MDFI"
"ENSG00000122778",136.564727508477,1.60872519070945,0.251458157954102,6.39758599919072,1.57852578678668e-10,6.1181570317713e-08,"KIAA1549"
"ENSG00000137699",357.009708360548,3.32175826752714,0.519251189055872,6.39720878360803,1.58242890082024e-10,6.1181570317713e-08,"TRIM29"
"ENSG00000111799",1033.08224870409,2.04271131723624,0.319959831237491,6.38427426760341,1.72212202760482e-10,6.55737101147528e-08,"COL12A1"
"ENSG00000234093",2.30205527220151,-3.81853757087779,0.599840813457375,-6.3659182323197,1.94124834859061e-10,7.28141973857175e-08,"RPS15AP11"
"ENSG00000164283",52.840141115789,3.79195094294125,0.599023838428972,6.33021709601107,2.44816498134928e-10,9.0477697273954e-08,"ESM1"
"ENSG00000184544",2.6532628557938,-3.70194122124337,0.585653458094211,-6.32104390417149,2.59802191274207e-10,9.46244763610447e-08,"DHRS7C"
"ENSG00000141682",73.946789240181,1.49304461177508,0.236956836216749,6.3009138525523,2.95895827636021e-10,1.04734620342547e-07,"PMAIP1"
